iter	RMSE
135	1.240019372
136	1.227564135
137	1.21275149
138	1.201188057
139	1.186564353
140	1.171107089
141	1.16060718
142	1.146072659
143	1.131424873
144	1.119976479
145	1.106408945
146	1.097838396
147	1.085233927
148	1.072393457
149	1.059908591
150	1.051737798
151	1.041261401
152	1.034270287
153	1.026713382
154	1.01687073
155	1.004697209
156	0.9948229779
157	0.9860535202
158	0.9802277926
159	0.969738953
160	0.9599877524
161	0.9497592747
162	0.9432470096
163	0.9318031289
164	0.9219522162
165	0.9121149045
166	0.9044619752
167	0.893975031
168	0.8857761611
169	0.8766940227
170	0.8677743873
171	0.8581601046
172	0.848898431
173	0.8395947439
174	0.8333255601
175	0.8254868954
176	0.8195689493
177	0.8120721645
178	0.8070441699
179	0.7987387463
180	0.7943851727
181	0.7874806491
182	0.779570872
183	0.7766800907
184	0.770285819
185	0.7622003739
186	0.7551008471
187	0.7479152287
188	0.7425804905
189	0.7351507847
190	0.7290292529
191	0.7216143308
192	0.7134754434
193	0.708141028
194	0.7059333214
195	0.6974613318
196	0.6898269057
197	0.6829319845
198	0.6771971615
199	0.6715516535
200	0.6643625592
201	0.659032996
202	0.6542953014
203	0.6485471691
204	0.6446987308
205	0.6399665036
206	0.6341647742
207	0.6299134819
208	0.62364031
209	0.6185742033
210	0.6134080834
211	0.6083436114
212	0.6037353437
213	0.5991247975
214	0.5943696804
215	0.5898397947
216	0.5852584133
217	0.5812801285
218	0.5779689487
219	0.5722290222
220	0.5675791469
221	0.5619666941
222	0.5571435954
223	0.5528761147
224	0.5478730312
225	0.54404436
226	0.5406988361
227	0.5371758474
228	0.5339158193
229	0.5303108558
230	0.5251161012
231	0.5219576552
232	0.5172509143
233	0.5139966756
234	0.5105013555
235	0.5058329222
236	0.5021965051
237	0.4980098391
238	0.4925845869
239	0.4894766506
240	0.4859321215
241	0.482346891
242	0.4779820403
243	0.4743544306
244	0.4703079942
245	0.4671120706
246	0.4641974324
247	0.4613670688
248	0.4582588864
249	0.4564825018
250	0.4540534447
251	0.4511551538
252	0.4485969176
253	0.4453336906
254	0.4422837411
255	0.4389746445
256	0.4356162326
257	0.4323934536
258	0.4280541335
259	0.4250263243
260	0.422693139
261	0.4191226273
262	0.4163727927
263	0.4128258601
264	0.4096907513
265	0.4072550066
266	0.4043282748
267	0.4018373084
268	0.3986010153
269	0.3962314138
270	0.3949570609
271	0.3916485549
272	0.3891226879
273	0.3869405874
274	0.3855759181
275	0.3829479752
276	0.3802586262
277	0.3781337105
278	0.3756765913
279	0.3724328576
280	0.3702130067
281	0.3678069021
282	0.366951761
283	0.3642932465
284	0.36235629
285	0.359802186
286	0.3578462876
287	0.3559126689
288	0.3542598628
289	0.3535903061
290	0.3516674754
291	0.3500738444
292	0.3477192441
293	0.3450904556
294	0.3430864863
295	0.3399900392
296	0.3383119084
297	0.3364210797
298	0.3338565024
299	0.3319944635
300	0.329744605
301	0.3271097746
302	0.3249852354
303	0.3216834047
304	0.3195020823
305	0.3178576717
306	0.3170129085
307	0.3149236165
308	0.3130684834
309	0.3111521119
310	0.3091869725
311	0.3078647941
312	0.3062306372
313	0.3054438111
314	0.3041200138
315	0.3026070243
316	0.3009059465
317	0.2988879698
318	0.2962313648
319	0.294653222
320	0.2925011075
321	0.2905533462
322	0.289499706
323	0.2873425764
324	0.2859737563
325	0.2845791709
326	0.2829266161
327	0.2809676853
328	0.2792574509
329	0.2780089844
330	0.2767244711
331	0.2763869625
332	0.2742593457
333	0.2725812962
334	0.2707275018
335	0.2697174729
336	0.2676155063
337	0.2666308773
338	0.2648737558
339	0.2642438021
340	0.2626280019
341	0.2619080336
342	0.2607620212
343	0.2587078655
344	0.2570838812
345	0.2560049369
346	0.2546623675
347	0.2525389083
348	0.2511798167
349	0.2497538004
350	0.2473836489
351	0.2459073778
352	0.2446034036
353	0.2431470169
354	0.2414281563
355	0.2404696506
356	0.2386373643
357	0.2375265511
358	0.2362566313
359	0.2348136165
360	0.2327354128
361	0.2313883901
362	0.2306675555
363	0.2296096018
364	0.2285710456
365	0.2270955535
366	0.2260764854
367	0.2250401717
368	0.2245245469
369	0.2242815641
370	0.2227541143
371	0.2217340492
372	0.2203848156
373	0.2191337991
374	0.2176191422
375	0.215967709
376	0.2149947233
377	0.2139856448
378	0.2130363256
379	0.2119503672
380	0.2111677219
381	0.2106428256
382	0.2096319433
383	0.2079563249
384	0.2077990927
385	0.2067040429
386	0.2053794871
387	0.2041675846
388	0.2040000616
389	0.2026438967
390	0.2016968239
391	0.2004680816
392	0.1991059894
393	0.19793831
394	0.1972315481
395	0.1960972822
396	0.1946742293
397	0.1942176739
398	0.194080371
399	0.1931086782
400	0.1921797079
401	0.1907318723
402	0.1895191049
403	0.1884444889
404	0.1876869918
405	0.1869002808
406	0.1857326666
407	0.1848880153
408	0.184036179
409	0.1830960573
410	0.1819268142
411	0.1807273573
412	0.1800281962
413	0.1796636595
414	0.1784335932
415	0.1772771755
416	0.1764597607
417	0.1757815989
418	0.1751357224
419	0.1744412895
420	0.1736119536
421	0.1727895131
422	0.1715920606
423	0.1704442315
424	0.1696375389
425	0.1688441411
426	0.1683387294
427	0.1672464048
428	0.1665568139
429	0.1660475567
430	0.1650380704
431	0.1641254865
432	0.1632672976
433	0.1625774401
434	0.1614940879
435	0.1604843036
436	0.1602861369
437	0.1591057871
438	0.158480238
439	0.157768508
440	0.1565930208
441	0.1556716616
442	0.1545158244
443	0.1538045405
444	0.1531635063
445	0.1522960336
446	0.151387528
447	0.1504700588
448	0.1496773119
449	0.1489375674
450	0.1486142431
451	0.1478330523
452	0.1474425488
453	0.1463571984
454	0.1459871614
455	0.1458674282
456	0.1446924267
457	0.1436494528
458	0.1428286499
459	0.1421291135
460	0.1412183658
461	0.140181125
462	0.1394352592
463	0.1388650718
464	0.138311164
465	0.1376936789
466	0.1367493502
467	0.1359912233
468	0.1356511419
469	0.1352868693
470	0.1344062612
471	0.133362876
472	0.1330396494
473	0.1322866809
474	0.1316044001
475	0.1310125755
476	0.1304313173
477	0.1296375939
478	0.1292741078
479	0.1284676804
480	0.1283074674
481	0.1274807238
482	0.1267496626
483	0.1261754276
484	0.1254551097
485	0.125167224
486	0.1245235735
487	0.1236471184
488	0.1230123688
489	0.122234292
490	0.1214903819
491	0.1212509874
492	0.1207134672
493	0.1201713499
494	0.1196475092
495	0.1189561559
496	0.1182438152
497	0.1174433399
498	0.1168786683
499	0.1163769257
500	0.1158010638
501	0.1151175732
502	0.11455334
503	0.1139501723
504	0.1135253685
505	0.1127694802
506	0.1122372746
507	0.1116548247
508	0.1108309119
509	0.110169112
510	0.109561242
511	0.1090750437
512	0.1089592446
513	0.1088838783
514	0.1083001016
515	0.1077446868
516	0.1073481177
517	0.10673793
518	0.1063999764
519	0.1057788824
520	0.1051544109
521	0.1050348544
522	0.1042548188
523	0.1037230288
524	0.103111129
525	0.102654098
526	0.1025609332
527	0.1023235723
528	0.1017230468
529	0.1013522745
530	0.1007326441
531	0.1001611253
532	0.09968699832
533	0.09904498488
534	0.09871118539
535	0.09825949606
536	0.09793332882
537	0.09743205388
538	0.09701138091
539	0.09655171445
540	0.09622826513
541	0.09591331461
542	0.09545945595
543	0.09513442208
544	0.09458845078
545	0.09413098757
546	0.09377358808
547	0.09372192644
548	0.09336549668
549	0.0928809591
550	0.0924255721
551	0.09190036659
552	0.09158223675
553	0.09112002982
554	0.0906171946
555	0.09008949888
556	0.08953053863
557	0.08904095372
558	0.08874856087
559	0.08836856475
560	0.08795137053
561	0.08745070409
562	0.08706330463
563	0.08662854043
564	0.0862097415
565	0.08613316411
566	0.08554622663
567	0.08500290857
568	0.08483419004
569	0.08433702596
570	0.08375203964
571	0.08339448374
572	0.08302118424
573	0.0826399626
574	0.08197684691
575	0.08139380679
576	0.08094756628
577	0.08066904604
578	0.08043673449
579	0.07989018179
580	0.07957777267
581	0.07921631728
582	0.07892063374
583	0.07861831032
584	0.07858313263
585	0.07815184039
586	0.07779819381
587	0.07749430259
588	0.07726136088
589	0.07692944006
590	0.07656165982
591	0.07619145727
592	0.07607474379
593	0.07604167693
594	0.07600067304
595	0.07555310511
596	0.07508749526
597	0.0748848344
598	0.07483706931
599	0.07437962435
600	0.07401315279
601	0.07366894178
602	0.07333185526
603	0.07314656284
604	0.07284498304
605	0.07254862177
606	0.07252256221
607	0.07228027974
608	0.07204055873
609	0.07172984951
610	0.07135390249
611	0.0709759606
612	0.07067462966
613	0.07054870516
614	0.0702296129
615	0.06985518869
616	0.06982376378
617	0.06957223127
618	0.06920978994
619	0.06889437759
620	0.06860472505
621	0.0681604708
622	0.06786644009
623	0.06760309475
624	0.06730388919
625	0.06694924637
626	0.06662296753
627	0.06638246993
628	0.06600817053
629	0.06582272842
630	0.06565606172
631	0.06532227922
632	0.06514415878
633	0.06482177278
634	0.06454399884
635	0.064195538
636	0.06390837397
637	0.06346552914
638	0.06312604309
639	0.06282756725
640	0.06257868662
641	0.06218062805
642	0.06176033526
643	0.06156865427
644	0.06131612125
645	0.06128507708
646	0.0608822266
647	0.06046516675
648	0.06011438156
649	0.05988450854
650	0.05962857292
651	0.05952040766
652	0.05927417048
653	0.05896724645
654	0.05857431629
655	0.05830030093
656	0.05806147356
657	0.05774758669
658	0.05747441425
659	0.05727450417
660	0.05701032102
661	0.05675124793
662	0.05672709556
663	0.05631583189
664	0.05624292975
665	0.055862064
666	0.05562397767
667	0.05532846049
668	0.05492375917
669	0.05457035059
670	0.05441400014
671	0.05439107715
672	0.05436164385
673	0.05434023966
674	0.05413833649
675	0.05389772934
676	0.05359634542
677	0.0535809845
678	0.05325128604
679	0.05308786352
680	0.05292065147
681	0.05261154772
682	0.05236651784
683	0.05205465579
684	0.05183581973
685	0.05159886254
686	0.05135557729
687	0.0513286331
688	0.05130971801
689	0.05109672352
690	0.05086121803
691	0.05056036981
692	0.05021424776
693	0.05019529685
694	0.04997889706
695	0.04962456026
696	0.04937056215
697	0.04913484286
698	0.04884414632
699	0.04858656593
700	0.0483086978
701	0.04802430363
702	0.04782080664
703	0.04750798661
704	0.04748458245
705	0.04721788664
706	0.04689960886
707	0.04665211334
708	0.04653674537
709	0.04646666071
710	0.04631735418
711	0.04609090012
712	0.04584201162
713	0.04570548772
714	0.04566628517
715	0.04543698637
716	0.0451953817
717	0.04498320743
718	0.04483354998
719	0.04466350647
720	0.04441276536
721	0.04428524116
722	0.04405436331
723	0.04384000714
724	0.04380344962
725	0.04372929399
726	0.04346795914
727	0.04333569904
728	0.04314447333
729	0.04289003925
730	0.04274822962
731	0.04254184616
732	0.04240275824
733	0.04225140914
734	0.04203148886
735	0.04195185664
736	0.04171279667
737	0.04154009559
738	0.04131544758
739	0.04128595472
740	0.04105035943
741	0.04087149005
742	0.0406275888
743	0.04041131582
744	0.04024545025
745	0.04005091585
746	0.03984699521
747	0.03983421155
748	0.03981501597
749	0.03966567638
750	0.03948867546
751	0.03932535418
752	0.0392385709
753	0.03913210918
754	0.03893656101
755	0.03877518883
756	0.0386319887
757	0.03841924939
758	0.03828919448
759	0.03814170499
760	0.03795875474
761	0.03774099743
762	0.0376202222
763	0.03741966945
764	0.03723705177
765	0.03702907449
766	0.03694494491
767	0.03686789575
768	0.03667142415
769	0.03650609617
770	0.03626117986
771	0.03607714295
772	0.03592889056
773	0.03573764312
774	0.03557857822
775	0.03542335502
776	0.0352134179
777	0.03516322278
778	0.03511121031
779	0.03501190979
780	0.0348298313
781	0.03466326342
782	0.03450712153
783	0.03428973392
784	0.03406552194
785	0.03390903695
786	0.0337088862
787	0.03354680289
788	0.03338025166
789	0.03323737638
790	0.03302955444
791	0.0328720717
792	0.03285879462
793	0.0326974256
794	0.0325885031
795	0.03251667443
796	0.03235965005
797	0.03217778845
798	0.03202843833
799	0.03200792862
800	0.03183236622
801	0.03173783693
802	0.0317258886
803	0.03154877153
804	0.03140879545
805	0.03133165838
806	0.03115579868
807	0.0310623438
808	0.03090112547
809	0.03073848727
810	0.03068354317
811	0.03058642467
812	0.03041964167
813	0.03033272102
814	0.03016852523
815	0.03015716979
816	0.03001000852
817	0.02991103986
818	0.02979882579
819	0.02967682761
820	0.02956502486
821	0.02949311884
822	0.02942319168
823	0.0292852443
824	0.02912183506
825	0.02895119473
826	0.02884544349
827	0.02872117328
828	0.02854577495
829	0.02837685753
830	0.02819723477
831	0.0280496005
832	0.02789478752
833	0.02781023137
834	0.0277029563
835	0.02759244511
836	0.02758420347
837	0.02747573755
838	0.02733864978
839	0.02722928981
840	0.02717895516
841	0.02702907851
842	0.02692546625
843	0.02678603318
844	0.02662723377
845	0.02649972339
846	0.02637449756
847	0.02617782969
848	0.02604973337
849	0.02590855201
850	0.02583619398
851	0.02572009538
852	0.02557646125
853	0.02546852802
854	0.02533938094
855	0.025226396
856	0.02510761165
857	0.02501024265
858	0.02489052399
859	0.0247357563
860	0.0246121213
861	0.02452488867
862	0.02439530345
863	0.02431499078
864	0.02421001604
865	0.02413658182
866	0.02402660011
867	0.02394324235
868	0.02385544241
869	0.02375294229
870	0.02365270263
871	0.02351204337
872	0.02336863503
873	0.02325646836
874	0.02319840122
875	0.02306019234
876	0.02293119197
877	0.02286969601
878	0.02278493929
879	0.02277559739
880	0.02263797795
881	0.02254142378
882	0.0223742045
883	0.02225422975
884	0.02214054867
885	0.02207619948
886	0.02198658454
887	0.02186993233
888	0.02174606584
889	0.02167546514
890	0.02155396717
891	0.02142807822
892	0.0213395261
893	0.02123592494
894	0.02115623686
895	0.02108752587
896	0.02099645687
897	0.02089869744
898	0.02082396627
899	0.02070054623
900	0.02055242869
901	0.02043985494
902	0.02027066039
903	0.02017294473
904	0.02005411139
905	0.0199570624
906	0.01991417096
907	0.01980222732
908	0.01979655715
909	0.01971223332
910	0.01962562995
911	0.01952225119
912	0.01944493182
913	0.01931220752
914	0.01922889568
915	0.01914621256
916	0.01905212284
917	0.01896089948
918	0.01887851527
919	0.01875540006
920	0.01861559417
921	0.01851433751
922	0.0184324708
923	0.01835841167
924	0.01825064896
925	0.01818139291
926	0.01809848146
927	0.01801344313
928	0.01793111761
929	0.01788903229
930	0.01783380293
931	0.01777939652
932	0.01767195612
933	0.01756276662
934	0.01745250634
935	0.01734734459
936	0.0172773824
937	0.01721524108
938	0.01709640693
939	0.01706719218
940	0.01699681914
941	0.01688545207
942	0.01680634173
943	0.01674552799
944	0.01668462871
945	0.01661268207
946	0.01654913508
947	0.0164637032
948	0.01640562133
949	0.01633438223
950	0.0162580475
951	0.0161863537
952	0.01611967192
953	0.01604025259
954	0.01594323857
955	0.01586457595
956	0.01579006168
957	0.01569956197
958	0.01563143697
959	0.01556324892
960	0.0154860686
961	0.01539797527
962	0.01529581222
963	0.01523232068
964	0.01515995082
965	0.01509005826
966	0.01500280907
967	0.01494149842
968	0.01490311582
969	0.01482446278
970	0.01473887557
971	0.01469722344
972	0.01462240471
973	0.01455318015
974	0.0144675543
975	0.01438058041
976	0.01431752649
977	0.01425076959
978	0.01418770343
979	0.01412748172
980	0.01410208319
981	0.01404977687
982	0.01399915678
983	0.01394485664
984	0.01385902312
985	0.01381402375
986	0.01377223122
987	0.01371111773
988	0.01365731781
989	0.01361475869
990	0.01356273522
991	0.01353463215
992	0.01346445347
993	0.01338250455
994	0.01333248486
995	0.01325636726
996	0.01320726639
997	0.0131524713
998	0.01310648363
999	0.01304395502
49443
999	0.0111232806
022544677
999	0.01019602926
